"Protein","estimate","std_error","statistic","pvalue","Padj","mean_diabetes_nonDN","mean_diabetes_DN"
"FABP4",0.436343104863051,0.0575089307382992,7.58739728353982,7.42457509840844e-14,2.16946084375495e-10,0.256229634300126,0.737323842592593
"LEP",0.517070408929277,0.0768812553658878,6.72557187663589,2.95099123486849e-11,4.31139819414286e-08,0.229014871794872,0.84375023255814
"LGALS9",0.199004183980313,0.030482785109717,6.52841212717392,1.0611183314584e-10,1.03352925484048e-07,0.105306338028169,0.311754739336493
"IL1RN",0.382184348384614,0.0599818828563819,6.3716630786616,2.86635099727953e-10,2.0938694035127e-07,0.408394415917843,0.802741904761905
"SEMA3F",0.147105645658568,0.0245308720050188,5.99675566479949,2.81732493210166e-09,1.64644469032021e-06,0.0735610897435897,0.218757906976744
"CKAP4",0.140892943638922,0.0239614665055731,5.87997999229942,5.59340156955311e-09,1.98394595500142e-06,0.0368857780612245,0.176034331797235
"HAVCR2",0.201589044313665,0.0343698828145426,5.86528168866402,6.11071649384422e-09,1.98394595500142e-06,0.0864284980744544,0.291021596244131
"LGALS1",0.189047055822468,0.0320514107006447,5.89824446693279,5.03622981073107e-09,1.98394595500142e-06,0.082154358974359,0.271216744186047
"RTN4R",0.18095534706036,0.0308186587863168,5.87161655265488,5.8731318581358e-09,1.98394595500142e-06,0.248400893997446,0.416363302752294
"ASGR1",0.164317078133871,0.028432176519697,5.77926484172033,1.00724612562962e-08,2.45264431590812e-06,0.152671806451613,0.310546428571429
"GOLM2",0.120715611678039,0.0208413551127674,5.79211913164365,9.31095116577667e-09,2.45264431590812e-06,0.0762573155216285,0.199777906976744
"IL18R1",0.180933522444545,0.0312694240577252,5.78627614344706,9.61863272264345e-09,2.45264431590812e-06,0.219278362944162,0.400264976958525
"PLIN1",0.196904710857472,0.0343005877801242,5.7405637512594,1.2617062354678e-08,2.8359274000284e-06,0.100083574244415,0.304955188679245
"TNFRSF1B",0.193077095338869,0.0337930132907835,5.71352112572712,1.46406160427899e-08,3.05570571978801e-06,0.112651219512195,0.304329577464789
"CLMP",0.113602745032843,0.0200149517522671,5.67589402357541,1.80815993650255e-08,3.40556814313542e-06,0.00789246487867177,0.129989908256881
"LAIR1",0.21762797384518,0.0383768062067545,5.67082035625145,1.86478748426306e-08,3.40556814313542e-06,0.111303831417625,0.327871666666667
"TNFRSF1A",0.158510825205487,0.0283174075995018,5.59764606447504,2.81435817803918e-08,4.83738505660617e-06,0.128310397946085,0.282728169014084
"NT5C1A",0.170948138537642,0.0310572993247806,5.50428215763251,4.94203139830284e-08,8.02256430324494e-06,0.0976202764976958,0.267984153005464
"COL6A3",0.184947612682505,0.0343502395167388,5.3841724332775,9.06097854358565e-08,1.27424763782467e-05,0.141383606557377,0.323368518518518
"TGFBR2",0.169938716289169,0.031571842175952,5.38260375628665,9.15783723282616e-08,1.27424763782467e-05,0.0885572611464968,0.256986214953271
"TNFRSF4",0.186183277807781,0.0345209426415372,5.39334281051053,8.63013174366653e-08,1.27424763782467e-05,0.0730913705583756,0.257676958525346
"INHBC",0.20305041215866,0.0379238265276834,5.35416467034092,1.06901533051481e-07,1.4198467253474e-05,0.16523055198973,0.363885915492958
